Bib,Wave,Division,AgeDivision,Gender,PreviousBestTime,TimeToHut,TimeToRoad,TotalTime
0,3,MastersM,2,1,11240,7824,9943,10525
0,11,YoungW,0,0,,12444,15970,16741
0,5,OpenM,1,1,12587,9180,11918,12535
0,3,OpenM,1,1,,7718,9835,10370
0,10,MastersW,2,0,,15467,19698,20433
0,7,OpenM,1,1,14078,9292,12023,12736
0,5,OpenM,1,1,12388,8070,10356,10963
0,4,MastersM,2,1,10437,8778,11865,12712
0,1,OldestM,4,1,,9414,12636,13314
0,1,MastersM,2,1,10459,7133,9176,9720
0,5,MastersM,2,1,,8811,11276,11921
0,10,OlderM,3,1,15792,11783,15416,16238
0,4,OpenM,1,1,11842,8465,11020,11627
0,5,OpenM,1,1,,8447,11292,12053
0,4,MastersM,2,1,10464,8273,10531,11068
0,8,OpenW,1,0,,12634,15889,16609
0,6,OpenM,1,1,,8369,11190,12005
0,11,OpenW,1,0,,,,
0,7,OpenW,1,0,,8898,11245,11879
0,3,MastersM,2,1,18796,7686,9948,10533
0,10,OpenM,1,1,,10214,13574,14483
0,5,YoungM,0,1,12519,9750,12655,13335
0,7,MastersW,2,0,,9973,12759,13416
0,3,MastersM,2,1,,8379,11094,11748
0,1,MastersM,2,1,10219,7780,10053,10671
0,5,OpenM,1,1,,9109,11688,12223
0,0,MastersM,2,1,8723,7165,9377,10034
0,8,OpenM,1,1,,9506,12678,13462
0,0,OpenM,1,1,9669,7517,9639,10206
0,1,MastersM,2,1,10246,7037,9036,9554
0,10,OpenW,1,0,,11530,14734,15538
0,4,MastersM,2,1,,8363,10737,11319
0,9,OlderM,3,1,12770,11214,14543,15350
0,2,MastersM,2,1,11852,7976,10346,10855
0,6,OpenM,1,1,13178,9748,13245,14013
0,9,MastersW,2,0,14673,11514,14730,15471
0,4,OpenM,1,1,,8924,11619,12385
0,3,OpenM,1,1,,8973,11655,12306
0,0,OpenW,1,0,10691,11148,14313,15081
0,5,OpenW,1,0,12610,9471,12224,12887
0,7,OlderM,3,1,,9165,12024,12709
0,4,OldestM,4,1,11114,10284,13569,14370
0,8,YoungM,0,1,,9816,12677,13399
0,8,YoungM,0,1,,9376,12147,12838
0,6,OlderW,3,0,13488,10117,12997,13671
0,5,OlderM,3,1,12577,8385,10848,11439
0,8,MastersM,2,1,,10297,13092,13773
0,10,OlderW,3,0,,13688,17453,18170
0,11,OpenW,1,0,,14019,18259,19185
0,9,OpenM,1,1,,10704,13563,14260
0,8,OpenW,1,0,,12566,15947,16710
0,4,OpenM,1,1,,8114,10885,11601
0,1,OlderM,3,1,10253,8279,10789,11411
0,10,MastersW,2,0,,11482,14522,15218
0,9,OpenW,1,0,,13785,17951,18718
0,7,MastersM,2,1,13039,10053,12928,13585
0,8,OpenM,1,1,14305,10413,13396,14141
0,5,MastersM,2,1,12507,8171,10496,11061
0,7,OpenM,1,1,,10781,14316,15224
0,7,MastersW,2,0,14040,10298,13329,14020
0,10,OpenW,1,0,,15611,19705,20434
0,11,MastersM,2,1,,10876,14024,14788
0,6,OpenW,1,0,13468,9061,11663,12355
0,11,MastersM,2,1,17482,12276,16036,16813
0,11,OpenW,1,0,,13411,17842,18827
0,9,MastersM,2,1,15560,11862,15501,16208
0,6,MastersM,2,1,13392,10363,13386,14119
0,8,MastersM,2,1,14840,11075,14248,15123
0,6,MastersM,2,1,,9700,12328,12984
0,5,YoungW,0,0,12540,8555,11192,11804
0,5,OlderM,3,1,11721,9363,12059,12740
0,9,OldestM,4,1,14957,11512,14879,15696
0,10,MastersM,2,1,,9882,13132,13930
0,7,MastersM,2,1,13862,10615,14064,14877
0,6,OpenM,1,1,,10307,13332,14018
0,0,OpenM,1,1,9231,8863,11859,12552
0,10,MastersW,2,0,,11409,14753,15555
0,8,MastersM,2,1,14031,13169,16392,17132
0,3,OpenM,1,1,11498,8347,10777,11334
0,5,OpenW,1,0,,8655,11139,11751
0,6,OpenM,1,1,,9602,12592,13393
0,5,OldestM,4,1,12108,8615,11176,11813
0,4,OpenW,1,0,,10504,13625,14299
0,4,MastersW,2,0,11867,8432,10814,11389
0,0,MastersM,2,1,9887,6967,9208,9809
0,8,OpenM,1,1,,10634,13771,14475
0,5,MastersM,2,1,11519,8681,11430,12146
0,3,OpenM,1,1,,9158,12023,12711
0,10,MastersW,2,0,,12116,15751,16650
0,1,MastersM,2,1,,7097,9173,9749
0,5,YoungW,0,0,,9460,12220,12892
0,11,OpenM,1,1,,12094,15437,16133
0,5,OpenW,1,0,,8700,11218,11839
0,5,YoungW,0,0,,9623,12566,13327
0,11,OpenW,1,0,,12093,15437,16133
0,0,MastersM,2,1,8587,6170,7823,8241
0,9,MastersM,2,1,13636,12190,15765,16600
0,4,MastersM,2,1,,9659,12907,13778
0,7,OlderM,3,1,,12634,16699,17622
0,7,OlderM,3,1,,10476,13375,14123
0,0,OpenW,1,0,9923,7281,9393,9978
0,8,OlderM,3,1,,8911,11495,12158
0,9,OlderW,3,0,15336,11159,14204,14983
0,10,OpenW,1,0,16471,13213,16598,17356
0,0,MastersM,2,1,9465,7169,9078,9537
0,3,OpenM,1,1,,9563,12605,13281
0,10,OpenW,1,0,,10701,13500,14183
0,0,OpenM,1,1,8016,5473,7094,7524
0,10,MastersM,2,1,,12339,16292,17266
0,10,MastersW,2,0,,11081,13896,14558
0,5,MastersW,2,0,12519,10121,13124,13865
0,8,OpenM,1,1,,11980,15550,16380
0,9,MastersW,2,0,14904,10190,13036,13710
0,5,MastersM,2,1,12045,9286,11961,12610
0,0,OpenM,1,1,,6564,8294,8785
0,0,MastersM,2,1,9504,6920,9058,9695
0,2,OpenM,1,1,,7928,10260,10870
0,9,OpenW,1,0,15219,11288,14642,15354
0,6,YoungW,0,0,13208,10287,13847,14702
0,6,MastersM,2,1,11894,10111,13121,13819
0,11,MastersM,2,1,,15589,19853,20695
0,1,OpenW,1,0,10675,7852,10210,10809
0,5,MastersW,2,0,12012,9193,11868,12529
0,0,YoungM,0,1,7982,5420,6965,7412
0,5,YoungM,0,1,,6438,8220,8790
0,6,MastersM,2,1,12776,10507,13764,14566
0,11,MastersM,2,1,19222,13969,17793,18683
0,8,MastersM,2,1,14345,10825,13490,14147
0,8,MastersW,2,0,14345,11407,14561,15334
0,11,OlderM,3,1,,11042,14155,14860
0,4,MastersM,2,1,10407,9167,11925,12619
0,11,OlderM,3,1,13383,15822,20279,21358
0,3,OpenM,1,1,9864,8519,11011,11650
0,4,OpenM,1,1,,9481,12116,12787
